Fecha;Recreo R70;Santo Tome
2022-01-01;-0.46;0.51
2022-01-02;-0.46;0.41
2022-01-03;-0.46;0.36
2022-01-04;-0.47;0.27
2022-01-05;-0.43;0.26
2022-01-06;-0.41;0.23
2022-01-07;-0.44;0.21
2022-01-08;-0.46;0.19
2022-01-09;-0.47;0.18
2022-01-10;-0.48;0.16
2022-01-11;-0.45;0.14
2022-01-12;-0.38;0.13
2022-01-13;-0.40;0.11
2022-01-14;-0.44;0.11
2022-01-15;-0.48;0.10
2022-01-16;-0.50;0.15
2022-01-17;-0.53;0.36
2022-01-18;-0.38;0.36
2022-01-19;-0.21;0.21
2022-01-20;0.13;0.28
2022-01-21;0.12;0.33
2022-01-22;-0.04;0.32
2022-01-23;-0.10;0.31
2022-01-24;0.06;0.18
2022-01-25;0.24;0.13
2022-01-26;0.89;0.16
2022-01-27;1.54;0.32
2022-01-28;1.34;0.35
2022-01-29;1.44;0.32
2022-01-30;1.90;0.44
2022-01-31;2.05;0.54
2022-02-01;1.97;0.54
2022-02-02;1.89;0.53
2022-02-03;1.68;0.57
2022-02-04;1.58;0.60
2022-02-05;1.30;0.57
2022-02-06;0.94;0.48
2022-02-07;0.64;0.38
2022-02-08;0.44;0.32
2022-02-09;0.29;0.26
2022-02-10;0.17;0.25
2022-02-11;0.06;0.22
2022-02-12;-0.03;0.24
2022-02-13;-0.12;0.19
2022-02-14;-0.20;0.17
2022-02-15;-0.17;0.18
2022-02-16;-0.16;0.19
2022-02-17;-0.17;0.34
2022-02-18;-0.15;0.46
2022-02-19;-0.16;0.54
2022-02-20;-0.17;0.56
2022-02-21;-0.17;0.56
2022-02-22;-0.16;0.54
2022-02-23;-0.16;0.53
2022-02-24;-0.16;0.50
2022-02-25;-0.17;0.53
2022-02-26;-0.17;0.51
2022-02-27;-0.17;0.47
2022-02-28;-0.16;0.58
2022-03-01;-0.16;0.51
2022-03-02;-0.17;0.49
2022-03-03;-0.17;0.52
2022-03-04;-0.17;0.58
2022-03-05;0.30;0.71
2022-03-06;0.80;0.92
2022-03-07;2.78;1.32
2022-03-08;3.04;1.45
2022-03-09;3.21;1.54
2022-03-10;3.67;1.74
2022-03-11;3.87;1.85
2022-03-12;4.10;1.92
2022-03-13;4.29;1.98
2022-03-14;4.37;2.01
2022-03-15;4.34;1.98
2022-03-16;4.07;1.95
2022-03-17;3.94;1.93
2022-03-18;3.77;1.90
2022-03-19;3.64;1.86
2022-03-20;3.46;1.79
2022-03-21;3.16;1.69
2022-03-22;2.51;1.52
2022-03-23;2.00;1.40
2022-03-24;1.95;1.35
2022-03-25;2.01;1.32
2022-03-26;2.05;1.36
2022-03-27;2.10;1.40
2022-03-28;2.11;1.45
2022-03-29;2.03;1.53
2022-03-30;1.82;1.64
2022-03-31;1.60;1.70
2022-04-01;1.39;1.78
2022-04-02;1.20;1.83
2022-04-03;1.12;1.84
2022-04-04;1.09;1.87
2022-04-05;1.09;1.89
2022-04-06;1.11;1.92
2022-04-07;1.14;1.95
2022-04-08;1.16;1.95
2022-04-09;0.83;1.95
2022-04-10;0.73;1.93
2022-04-11;0.75;1.94
2022-04-12;0.92;1.96
2022-04-13;1.00;2.03
2022-04-14;1.07;2.15
2022-04-15;1.22;2.32
2022-04-16;1.20;2.48
2022-04-17;1.04;2.62
2022-04-18;1.02;2.74
2022-04-19;1.00;2.84
2022-04-20;0.97;2.90
2022-04-21;;2.94
2022-04-22;;2.94
2022-04-23;;2.90
2022-04-24;;2.85
2022-04-25;0.44;2.78
2022-04-26;0.43;2.75
2022-04-27;0.43;2.72
2022-04-28;;2.64
2022-04-29;;2.56
2022-04-30;;2.51
2022-05-01;;2.46
2022-05-02;;2.43
2022-05-03;;2.45
2022-05-04;;2.54
2022-05-05;;2.64
2022-05-06;1.08;2.72
2022-05-07;0.85;2.75
2022-05-08;0.65;2.99
2022-05-09;0.48;2.67
2022-05-10;0.32;2.75
2022-05-11;0.28;2.75
2022-05-12;0.14;2.44
2022-05-13;-0.01;2.41
2022-05-14;-0.01;2.35
2022-05-15;-0.02;2.35
2022-05-16;-0.03;2.27
2022-05-17;-0.04;2.23
2022-05-18;-0.06;2.20
2022-05-19;-0.07;2.19
2022-05-20;-0.07;2.19
2022-05-21;-0.08;2.18
2022-05-22;-0.12;2.17
2022-05-23;-0.14;2.15
2022-05-24;;2.13
2022-05-25;;2.13
2022-05-26;;2.16
2022-05-27;-0.17;2.15
2022-05-28;-0.18;2.14
2022-05-29;-0.16;2.09
2022-05-30;-0.17;2.07
2022-05-31;-0.18;2.00
2022-06-01;-0.20;1.96
2022-06-02;;1.92
2022-06-03;;1.89
2022-06-04;;1.87
2022-06-05;;1.89
2022-06-06;;2.01
2022-06-07;;2.21
2022-06-08;;2.41
2022-06-09;;2.58
2022-06-10;;2.65
2022-06-11;;2.74
2022-06-12;;2.87
2022-06-13;;2.83
2022-06-14;;2.85
2022-06-15;;2.86
2022-06-16;-0.10;2.86
2022-06-17;-0.10;2.86
2022-06-18;-0.12;2.81
2022-06-19;-0.13;2.75
2022-06-20;-0.13;2.69
2022-06-21;-0.14;2.65
2022-06-22;-0.15;2.62
2022-06-23;-0.15;2.59
2022-06-24;-0.16;2.56
2022-06-25;-0.18;2.54
2022-06-26;-0.20;2.50
2022-06-27;-0.21;2.47
2022-06-28;-0.24;2.44
2022-06-29;-0.27;2.44
2022-06-30;-0.33;2.46
2022-07-01;-0.35;2.47
2022-07-02;-0.35;2.42
2022-07-03;-0.36;2.36
2022-07-04;-0.36;2.29
2022-07-05;-0.37;2.22
2022-07-06;-0.38;2.15
2022-07-07;-0.38;2.09
2022-07-08;-0.38;2.04
2022-07-09;-0.38;1.97
2022-07-10;-0.38;1.88
2022-07-11;-0.38;1.84
2022-07-12;-0.38;1.75
2022-07-13;-0.39;1.69
2022-07-14;-0.39;1.66
2022-07-15;-0.39;1.62
2022-07-16;-0.39;1.55
2022-07-17;-0.40;1.46
2022-07-18;-0.40;1.44
2022-07-19;-0.40;1.43
2022-07-20;-0.41;1.44
2022-07-21;-0.41;1.46
2022-07-22;-0.41;1.48
2022-07-23;-0.42;1.46
2022-07-24;-0.43;1.42
2022-07-25;-0.43;1.39
2022-07-26;-0.43;1.38
2022-07-27;-0.43;1.40
2022-07-28;-0.42;1.45
2022-07-29;-0.41;1.44
2022-07-30;-0.40;1.40
2022-07-31;-0.40;1.31
2022-08-01;-0.29;1.06
2022-08-02;-0.30;1.03
2022-08-03;-0.35;1.02
2022-08-04;-0.37;1.07
2022-08-05;-0.40;1.11
2022-08-06;-0.35;1.20
2022-08-07;-0.27;1.32
2022-08-08;0.10;1.32
2022-08-09;1.69;1.32
2022-08-10;2.00;1.33
2022-08-11;;1.34
2022-08-12;;1.34
2022-08-13;;1.32
2022-08-14;;1.30
2022-08-15;-0.26;1.31
2022-08-16;-0.36;1.30
2022-08-17;-0.40;1.34
2022-08-18;-0.40;1.38
2022-08-19;-0.41;1.41
2022-08-20;-0.42;1.39
2022-08-21;-0.44;1.31
2022-08-22;-0.46;1.24
2022-08-23;;1.21
2022-08-24;;1.26
2022-08-25;;1.39
2022-08-26;;1.49
2022-08-27;;1.61
2022-08-28;;1.66
2022-08-29;;1.69
2022-08-30;;1.69
2022-08-31;;1.73
2022-09-01;;1.76
2022-09-02;;1.77
2022-09-03;;1.71
2022-09-04;;1.73
2022-09-05;-0.20;1.68
2022-09-06;-0.22;1.65
2022-09-07;-0.22;1.68
2022-09-08;-0.23;1.68
2022-09-09;-0.24;1.69
2022-09-10;-0.28;1.57
2022-09-11;-0.30;1.46
2022-09-12;-0.34;1.34
2022-09-13;-0.34;1.25
2022-09-14;-0.35;1.24
2022-09-15;-0.36;1.26
2022-09-16;-0.39;1.28
2022-09-17;-0.41;1.26
2022-09-18;-0.41;1.21
2022-09-19;-0.41;1.19
2022-09-20;-0.40;1.21
2022-09-21;-0.40;1.29
2022-09-22;-0.40;1.36
2022-09-23;-0.41;1.42
2022-09-24;-0.37;1.41
2022-09-25;-0.36;1.34
2022-09-26;-0.40;1.29
2022-09-27;-0.42;1.29
2022-09-28;-0.43;1.34
2022-09-29;-0.43;1.39
2022-09-30;-0.44;1.41
2022-10-01;-0.44;1.36
2022-10-02;-0.45;1.31
2022-10-03;-0.46;1.30
2022-10-04;-0.48;1.41
2022-10-05;-0.49;1.57
2022-10-06;-0.49;1.75
2022-10-07;-0.49;1.87
2022-10-08;-0.50;1.93
2022-10-09;-0.50;1.99
2022-10-10;-0.52;2.00
2022-10-11;-0.53;2.06
2022-10-12;-0.53;2.13
2022-10-13;-0.53;2.22
2022-10-14;-0.52;2.30
2022-10-15;-0.51;2.35
2022-10-16;-0.49;2.38
2022-10-17;-0.48;2.41
2022-10-18;-0.45;2.48
2022-10-19;-0.40;2.57
2022-10-20;-0.32;2.66
2022-10-21;-0.23;2.79
2022-10-22;-0.03;2.90
2022-10-23;-0.04;2.98
2022-10-24;0.03;3.05
2022-10-25;0.08;3.12
2022-10-26;0.16;3.18
2022-10-27;0.18;3.21
2022-10-28;0.21;3.25
2022-10-29;0.25;3.30
2022-10-30;0.31;3.34
2022-10-31;0.42;3.39
2022-11-01;0.37;3.4
2022-11-02;0.40;3.43
2022-11-03;0.44;3.47
2022-11-04;0.47;3.5
2022-11-05;0.49;3.52
2022-11-06;0.51;3.54
2022-11-07;0.53;3.56
2022-11-08;0.55;3.57
2022-11-09;0.62;3.58
2022-11-10;0.79;3.59
2022-11-11;0.96;3.59
2022-11-12;1.08;3.6
2022-11-13;1.15;3.6
2022-11-14;0.95;3.61
2022-11-15;0.92;3.61
2022-11-16;0.60;3.61
2022-11-17;0.58;3.65
2022-11-18;0.58;3.64
2022-11-19;0.56;3.62
2022-11-20;0.55;3.61
2022-11-21;0.54;3.6
2022-11-22;0.53;3.58
2022-11-23;0.51;3.57
2022-11-24;0.49;3.55
2022-11-25;0.47;3.53
2022-11-26;0.45;3.52
2022-11-27;0.43;3.51
2022-11-28;0.41;3.5
2022-11-29;0.40;3.48
2022-11-30;0.36;3.47
2022-12-01;0.35;3.46
2022-12-02;0.33;3.43
2022-12-03;0.30;3.41
2022-12-04;0.27;3.36
2022-12-05;0.24;3.35
2022-12-06;0.24;3.26
2022-12-07;0.25;3.24
2022-12-08;0.23;3.21
2022-12-09;0.20;3.18
2022-12-10;0.22;3.19
2022-12-11;0.20;3.14
2022-12-12;;3.09
2022-12-13;0.05;3.02
2022-12-14;-0.02;2.96
2022-12-15;-0.10;2.87
2022-12-16;-0.21;2.76
2022-12-17;-0.34;2.62
2022-12-18;-0.32;2.47
2022-12-19;-0.14;2.37
2022-12-20;-0.10;2.30
2022-12-21;-0.07;2.29
2022-12-22;-0.08;2.29
2022-12-23;-0.12;2.31
2022-12-24;-0.06;2.29
2022-12-25;-0.15;2.24
2022-12-26;-0.21;2.18
2022-12-27;-0.30;2.12
2022-12-28;-0.36;2.07
2022-12-29;-0.40;2.05
2022-12-30;-0.44;2.00
2022-12-31;-0.47;1.88
2023-01-01;-0.50;1.74
2023-01-02;-0.50;1.63
2023-01-03;-0.51;1.54
2023-01-04;-0.52;1.50
2023-01-05;-0.54;1.45
2023-01-06;;1.38
2023-01-07;;1.28
2023-01-08;;1.16
2023-01-09;;1.02
2023-01-10;-0.64;0.91
2023-01-11;-0.65;0.83
2023-01-12;-0.65;0.76
2023-01-13;-0.65;0.76
2023-01-14;-0.63;0.68
2023-01-15;-0.63;0.56
2023-01-16;-0.63;0.54
2023-01-17;-0.63;0.61
2023-01-18;-0.63;0.76
2023-01-19;-0.60;0.88
2023-01-20;-0.60;0.97
2023-01-21;-0.57;1.06
2023-01-22;-0.55;1.21
2023-01-23;-0.49;1.28
2023-01-24;-0.49;1.51
2023-01-25;-0.51;1.63
2023-01-26;-0.53;1.70
2023-01-27;-0.55;1.76
2023-01-28;-0.53;1.84
2023-01-29;-0.50;1.92
2023-01-30;-0.48;2.02
2023-01-31;-0.45;2.11
2023-02-01;;2.20
2023-02-02;-0.57;2.27
2023-02-03;-0.55;2.29
2023-02-04;-0.53;2.28
2023-02-05;-0.50;2.27
2023-02-06;-0.48;2.27
2023-02-07;-0.45;2.29
2023-02-08;-0.44;2.31
2023-02-09;-0.43;2.35
2023-02-10;-0.45;2.33
2023-02-11;-0.48;2.30
2023-02-12;-0.49;2.25
2023-02-13;-0.55;2.19
2023-02-14;-0.55;2.19
2023-02-15;-0.57;2.20
2023-02-16;-0.60;2.20
2023-02-17;-0.62;2.23
2023-02-18;-0.64;2.22
2023-02-19;-0.64;2.27
2023-02-20;-0.62;2.35
2023-02-21;-0.55;2.45
2023-02-22;-0.46;2.56
2023-02-23;-0.36;2.66
2023-02-24;-0.27;2.77
2023-02-25;-0.19;2.85
2023-02-26;-0.12;2.92
2023-02-27;-0.02;2.99
2023-02-28;0.02;3.04
