PUNTO;FECHA;Días de lluvia previa;mm acumulados;Profundidad de muestreo (cm);Temperatura (ºC);pH;Conductividad (uS/cm);OD (ppm);Sat OD %;Coliformes totales (NMP/100 mL);E. coli (NMP/100 mL);Clorofila-a (µg/L);Nitritos (ug/L);Nitratos (ug/L);Amonio (ug/L);Fósforo reactivo soluble (ug/L);DBO5;DQO;Hidrocarburos Totales (HTP) mg/L;Gasolina (GRO; Tolueno-C12) mg/L;Diesel (DRO) mg/L;Cortes pesados (HO) mg/L;Cadmio (ug/L);Cobre (ug/L);Plomo (ug/L);Fitoplancton densidad total (ind/mL);Fitoplancton (riqueza total);Zooplancton densidad total (ind/L);Zooplancton (riqueza total)
Canal 1;24/2/2023;2;8;30;25.3;7.81;367;17.03;206;93000;23000;0.31;;;;;;;< 0.63;< 0.25;< 0.63;< 0.63;ND;6;ND;;18;9;54;4
Canal 2;24/2/2023;2;8;15;24.6;6.79;396;12.5;151.3;2300000;23000;1.87;;;;;;;<0.63;<0.25;<0.63;<0.63;ND;13;12;;124;15;402.5;7
Canal 3;24/2/2023;2;8;15;22.5;7.45;1788;11.1;;93000;2300;17.09;;;;;;;<0.63;<0.25;<0.63;<0.63;ND;6;ND;;855;26;450;11
Canal 1;23/3/2023;post-lluvia;;30;24.6;8.7;200.3;6.52;78;9300000;210000;2.09;;;;;;;< 0.63;< 0.25;< 0.63;< 0.63;ND;14;12;;28;11;;
Canal 2;23/3/2023;post-lluvia;;25;23.7;8.9;141.7;7.57;29.9;46000000;750000;5.77;;;;;;;<0.63;<0.25;<0.63;<0.63;0.7;37;42;;40;8;;
Canal 3;23/3/2023;post-lluvia;;25;23.3;8.1;946;3.38;39.5;93000;15000;6.67;;;;;;;<0.63;<0.25;<0.63;<0.63;ND;7;ND;;194;27;;
Canal 1;30/3/2023;7;;25;24.3;7.49;562;;;;;0.68;;;;;;;;;;;;;;;34;15;;
Canal 2;30/3/2023;7;;20;25.5;7.97;696;;;;;0.63;;;;;;;;;;;;;;;71;20;;
Canal 3;30/3/2023;7;;15;22.9;7.38;4420;;;;;25.87;;;;;;;;;;;;;;;567;26;;
Canal 1;27/4/2023;3;;60;21.4;7.5;482;4.93;55.7;;;0.51;;;;;;;;;;;;;;;55;15;;
Canal 2;27/4/2023;3;;50;21.1;7.6;431;3.21;36.1;;;1.23;;;;;;;;;;;;;;;45;13;;
Canal 3;27/4/2023;3;;60;19.9;6.8;3820;4.82;30.3;;;80.15;;;;;;;;;;;;;;;7048;11;;
Canal 1;30/05/2023;4;;60;19.9;8;553;4.26;46.3;93000;2300;;;;;;;;;;;;;;;;;;;
Canal 2;30/05/2023;4;;50;19.1;7.8;495;5;53.1;230000;4300;;;;;;;;;;;;;;;;;;;
Canal 3;30/05/2023;4;;70;19.1;7.4;1955;3.23;31.5;43000;2300;;;;;;;;;;;;;;;;;;;
Canal 1;29/06/2023;3;;40;17.5;7.6;462;5.9;55;;;;;;;;;;;;;;;;;;;;;
Canal 2;29/06/2023;3;;30;15.6;8;419;4.9;49.1;;;;;;;;;;;;;;;;;;;;;
Canal 3;29/06/2023;3;;50;13.5;7.4;3790;2.78;25.8;;;;;;;;;;;;;;;;;;;;;